순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
53,152644865,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오",https://www.yes24.com/product/goods/152644865,"현병욱(오땡큐), 신수진",시프트,2025년 09월,"18,000","20,000",10%,"20,778","누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오. AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!`AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?` 직접...",https://image.yes24.com/goods/152644865/xl
54,116860343,AI 2041,https://www.yes24.com/product/goods/116860343,"리카이푸, 천치우판 저/이현 역",한빛비즈,2023년 01월,"26,820","29,800",10%,"10,035","AI 2041. 뇌공학자 정재승, IT 현자 박태웅,투자 귀재 레이 달리오…각 분야 리더들의 강력 추천!“인공지능은 이미 예정된 미래다”알파고가 이세돌 기사에게 승리를 거둔 직후, 대중은 인공지능이 인류를 지배하는 시대가 왔다며 충격에 휩싸였다. 카이스트 김대...",https://image.yes24.com/goods/116860343/xl
55,192277218,이게 되네? AI 실무 올인원 미친 활용법 71제,https://www.yes24.com/product/goods/192277218,이석현,골든래빗,2026년 07월,"23,400","26,000",10%,"2,643","이게 되네? AI 실무 올인원 미친 활용법 71제. * 쏟아지는 AI, 하나씩 찾아 배우기엔 너무 힘들지 않나요?* 요즘 일잘러가 가장 많이 쓰는 8가지 AI를 빠르게 배우고 바로 써먹으세요!* 71가지 미친 활용법을 끝내는 순간, 당신은 AI 마스터가 됩니다...",https://image.yes24.com/goods/192277218/xl
56,187491806,이게 되네? 캔바 AI 미친 활용법 47제,https://www.yes24.com/product/goods/187491806,이지쌤(이지훈),골든래빗,2026년 05월,"21,600","24,000",10%,"5,715","이게 되네? 캔바 AI 미친 활용법 47제. * 온라인 디자인 플랫폼 캔바 미친 활용! 클릭 몇 번으로 디자인의 격이 달라진다!“이 모든 걸 정말 캔바 하나로 만들었다고?” 시선을 단숨에 사로잡는 SNS 피드부터 깔끔한 PPT 슬라이드, 세련된 웹사이트까지. ...",https://image.yes24.com/goods/187491806/xl
57,192877328,슬기로운 교사 생활 캔바 AI 수업 활용법,https://www.yes24.com/product/goods/192877328,미나리쌤,골든래빗,2026년 07월,"21,420","23,800",10%,"1,380","슬기로운 교사 생활 캔바 AI 수업 활용법. ★ 선생님, 아직도 수업 자료 만들기와 문서 작업 사이에서 퇴근 시간을 놓치고 계신가요?★ 템플릿 활용부터 바이브 코딩과 Canva AI 2.0으로 완성하는 나만의 맞춤형 에듀테크 교실★ 기초 가입부터 AI 아바타 ...",https://image.yes24.com/goods/192877328/xl
58,146955725,된다! 하루 만에 끝내는 챗GPT 활용법,https://www.yes24.com/product/goods/146955725,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,"18,000","20,000",10%,"31,548",된다! 하루 만에 끝내는 챗GPT 활용법. GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하...,https://image.yes24.com/goods/146955725/xl
59,192529089,리더의 AI 노트,https://www.yes24.com/product/goods/192529089,김지현,한빛미디어,2026년 06월,"21,600","24,000",10%,"4,449","리더의 AI 노트. “AI를 제대로 쓰는 리더가 조직의 미래를 바꾼다”트렌드 분석, 의사결정, AX 전략까지 리더의 모든 순간에 AI 연결하기SK AI위원회 부사장이자 30년의 IT 현장 경험을 갖춘 저자 김지현이 경영진과 팀장급 리더를 위해 쓴 AX 리더십 ...",https://image.yes24.com/goods/192529089/xl
60,193050689,90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제,https://www.yes24.com/product/goods/193050689,최우진,앤써북,2026년 07월,"15,930","17,700",10%,"2,433","90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제. `선생님, 방금 그거 어떻게 하신 거예요?`매일 켜는 내 컴퓨터, 그 안에 숨어 있던 40가지 꿀기능나이스(NEIS) 창을 띄워 두고, 내일 수업 자료를 만들고, 쏟아지는 공문을 처리하는 선생님의 책상 풍...",https://image.yes24.com/goods/193050689/xl
61,112941801,회사는 엑셀을 가르쳐주지 않아요,https://www.yes24.com/product/goods/112941801,쏘피(박성희),메가스터디북스,2022년 09월,"16,200","18,000",10%,"15,042",회사는 엑셀을 가르쳐주지 않아요. “회사는 엑셀 쓰는 법 가르쳐주지 않아요. 일만 줍니다.”퇴근시간 확 당겨줄 100% 실무 포커스 엑셀 활용 가이드북‘탈잉’ 1위 엑셀 클래스의 수업 내용을 한 권에 담다!대기업 인사 담당자들이 Pick한 엑셀 전문가 쏘피1초...,https://image.yes24.com/goods/112941801/xl
62,191698395,검색은 끝났다 AEO·GEO 마케팅,https://www.yes24.com/product/goods/191698395,"주민건, 한용희, 김진용",골든래빗,2026년 06월,"21,600","24,000",10%,"3,696","검색은 끝났다 AEO·GEO 마케팅. *당신 제품과 브랜드는 지금 AI의 답변에 들어 있는가, 아니면 사라지고 있는가?*먼저 AEO·GEO를 시작한 사람이 고객을 차지한다!*대한민국 1티어 AEO·GEO 전문가가 전하는 비즈니스를 성장시키는 특급 노하우!AI ...",https://image.yes24.com/goods/191698395/xl
63,189674360,"다시, 소프트웨어 엔지니어",https://www.yes24.com/product/goods/189674360,"네서니얼 슈타, 댄 베가 저/박성철 역",책만,2026년 05월,"27,000","30,000",10%,"6,180","다시, 소프트웨어 엔지니어. AI에도 흔들리지 않을 개발자의 조건과 기본 역량유능한 소프트웨어 엔지니어가 되려면 무엇을 알아야 할까? 대학이나 부트캠프에서는 알고리듬 기초와 코딩 방법을 가르칠지 모르지만, 전문가로 성장하기 위한 필수 주제를 다루는 경우는 거의...",https://image.yes24.com/goods/189674360/xl
64,185714339,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",https://www.yes24.com/product/goods/185714339,김용성,프리렉,2026년 04월,"22,500","25,000",10%,"3,249","AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지. 언어가 코드가 되고 생각이 서비스가 되는 세상! AI, 더는 적당해서는 안 됩니다최신 기술 및 트렌드로 한층 풍부해진 AI 교양부터 당장 쓸 수 있는 기능별&단계별 AI 활용 역량 ...",https://image.yes24.com/goods/185714339/xl
65,143912145,혼자 공부하는 머신러닝+딥러닝,https://www.yes24.com/product/goods/143912145,박해선,한빛미디어,2025년 04월,"28,800","32,000",10%,"18,123","혼자 공부하는 머신러닝+딥러닝. 머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 ** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하는 질문)...",https://image.yes24.com/goods/143912145/xl
66,189128697,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,https://www.yes24.com/product/goods/189128697,황은지,제이펍,2026년 05월,"19,800","22,000",10%,"5,172","수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법. 진짜 일잘러 선생님을 위한 에듀테크 캔바 활용법캔바를 안다고 해서 수업이 저절로 달라지지는 않는다. 하지만 이 책은 다르다. 캔바라는 도구를 교사의 언어로 풀어내, 책을 펼치는 순간부터 교실의 현장에 ...",https://image.yes24.com/goods/189128697/xl
67,142814138,된다! 하루 만에 준비하는 AI 학교 수업 활용법,https://www.yes24.com/product/goods/142814138,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,"17,820","19,800",10%,"17,421","된다! 하루 만에 준비하는 AI 학교 수업 활용법. 2022 개정 교육과정 반영! AI 디지털 교과서 시대의 해법!교육감, 한국과학창의재단 강사 추천!상위 1% 에듀테크 교사의 수업 비법을 공개합니다!AI 디지털 교과서 도입을 두고 찬반이 이어지는 가운데 교사...",https://image.yes24.com/goods/142814138/xl
68,118982111,혼자 공부하는 C 언어,https://www.yes24.com/product/goods/118982111,서현우,한빛미디어,2023년 05월,"23,400","26,000",10%,"10,794",혼자 공부하는 C 언어. 혼자 해도 충분하다! 1:1 과외하듯 배우는 C 프로그래밍 자습서『혼자 공부하는 C 언어』가 더욱 흥미 있고 알찬 내용으로 돌아왔습니다. 혼자 공부하더라도 막히는 부분이 없도록 부가 설명용 동영상 ‘QR 코드’를 추가했습니다. 또한 최...,https://image.yes24.com/goods/118982111/xl
69,192047818,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,https://www.yes24.com/product/goods/192047818,엄태효,위키북스,2026년 06월,"25,200","28,000",10%,"3,009","밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복. 코딩을 몰라도, ‘바이브’만으로 소프트웨어를 만드는 시대!클로드 코드로 시작하는 AI 개발 워크플로의 모든 것지금은 AI 에이전트와 대화하며 소프트웨어를 만드는 ‘바이브 코딩’의 시대입니다. 이 책은 이 거...",https://image.yes24.com/goods/192047818/xl
70,190852162,클로드 코워크,https://www.yes24.com/product/goods/190852162,신승희,생능북스,2026년 06월,"21,600","24,000",10%,"2,853","클로드 코워크. You Work, I CO-WORK!너가 일하면 내가 협업할게, 클로드 코워크!《24시간 일하는 나만의 AI 비서, 클로드 코워크》는 복잡하고 어렵게 느껴졌던 AI 협업 방식을 누구나 쉽게 실무에 적용할 수 있도록 구성한 클로드 코워크 실전형 ...",https://image.yes24.com/goods/190852162/xl
71,192470678,아키텍처는 진화한다,https://www.yes24.com/product/goods/192470678,공상휘,인사이트(insight),2026년 07월,"25,200","28,000",10%,"1,866",아키텍처는 진화한다. 잘 짜인 코드… 하지만 시스템이 보이지 않는다면?공들여 짠 코드는 잘 돌아간다. 그러나 성능 이슈 회의나 클라우드 전환 논의 자리에서는 코드가 돌아가는 구조를 설명하려니 쉽게 입이 떨어지지 않는다. 내가 만든 모듈이 시스템 어디에 놓였는지...,https://image.yes24.com/goods/192470678/xl
72,188266803,AI시대에 난생처음 들어보는 데이터센터 이야기,https://www.yes24.com/product/goods/188266803,김주회,북플레이트,2026년 04월,"19,800","22,000",10%,"11,298","AI시대에 난생처음 들어보는 데이터센터 이야기. “데이터는 서버 안에 있고, 서버는 데이터센터 안에 있다”AI 시대에 중요한 자산인 데이터와 데이터센터에 관한 쉽고도 핵심적인 메시지『AI시대에 난생처음 들어보는 데이터센터 이야기』는 데이터센터를 처음 접하는 사...",https://image.yes24.com/goods/188266803/xl
73,191173742,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),https://www.yes24.com/product/goods/191173742,조블리,제이펍,2026년 06월,"23,400","26,000",10%,"2,664","진짜 쓰는 프리미어 영상 편집 2026 (최신개정판). ‘프리미어 프로’ 대표 베스트셀러, 진짜 최신 개정판 출간!유튜브 및 SNS 콘텐츠 제작을 위한 실무 중심 영상 편집 입문서로, 40만을 넘는 구독자의 선택을 받은 영상 편집 강사 조블리(조애리)의 노하우...",https://image.yes24.com/goods/191173742/xl
74,176901915,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!",https://www.yes24.com/product/goods/176901915,"임우균, 서지원",앤써북,2026년 02월,"15,120","16,800",10%,"2,640","요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!. 요즘 체육 수업, 에듀테크로 설계하고 기록하고 학생 성장으로 남는다!『요즘 교사를 위한 체육 수업 에듀테크 활용법』은 체육 수업 전 과정에 에듀테...",https://image.yes24.com/goods/176901915/xl
75,192533233,그림으로 이해하는 IT 인프라 구조와 기술,https://www.yes24.com/product/goods/192533233,"츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카 저/김성훈 역",길벗,2026년 06월,"19,800","22,000",10%,"1,644","그림으로 이해하는 IT 인프라 구조와 기술. 서버, 네트워크, 클라우드, 운영, 보안은 어떻게 연결되는가? IT 인프라의 전체 지형도를 그리자!IT 인프라를 이루는 기술의 관계와 흐름을 한 눈에 이해하는 그림/도식 중심의 종합 입문서!이 책은 IT 인프라의 전...",https://image.yes24.com/goods/192533233/xl
76,192164452,클로드 코워크 시작하기,https://www.yes24.com/product/goods/192164452,조남경,비엘북스,2026년 07월,"25,200","28,000",10%,"2,274","클로드 코워크 시작하기. [엑셀 13개, 회의록, 제안서까지 - 커피 한 잔 뽑는 사이에 끝낸다고요?]금요일 오후 4시, 부장님의 메신저 한 줄. “이번 주 매출 요약 6시까지, 슬라이드 3장으로 부탁해.” 모니터에 띄워진 엑셀 파일은 열세 개. 양식도 내용도...",https://image.yes24.com/goods/192164452/xl
77,191485571,AI 냄새 지우기,https://www.yes24.com/product/goods/191485571,벤진 리드,자이언톡,2026년 06월,"17,820","19,800",10%,"2,187","AI 냄새 지우기. 『AI 냄새 지우기』는 생성형 AI 시대에 좋은 결과물이 어디에서 나오는가를 묻는 책이다. 오늘날 많은 사람이 AI로 보고서, 기획안, 글쓰기, 학습 자료를 빠르게 만들지만, 그 결과물에는 종종 `누구의 생각인지 알 수 없는` 평면성과 빈틈...",https://image.yes24.com/goods/191485571/xl
78,189520507,된다! 스레드 활용법,https://www.yes24.com/product/goods/189520507,거북이걸음,이지스퍼블리싱,2026년 06월,"19,800","22,000",10%,"2,976","된다! 스레드 활용법. 2년 만에 팔로워 4만 5천 명을 모은 스레드 인플루언서의 노하우 전격 공개!`무슨 글을 써야 하지?` 막막한 당신을 위한 가장 친절한 스레드 활용 가이드계정 생성부터 알고리즘 설정, 유형별 노하우, AI 활용, 수익화까지!글감 113가...",https://image.yes24.com/goods/189520507/xl
